 ,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,time,AR
1,83.493,11.299,6.96,11.299,6.96,42.374,18.259,5.822,179.93,0.584,17.588,1,2.528,7.499,177.254,5.519,3.136,0.319,0.994,0,3.136
2,81.844,11.168,6.967,11.168,6.967,41.443,18.012,5.785,179.716,0.599,17.374,2,2.528,7.288,177.498,5.519,3.113,0.321,0.994,0.01668335,3.113
3,95.201,11.372,6.097,11.372,6.097,39.898,16.034,7.56,179.632,0.752,15.195,3,3.792,6.024,176.503,6.951,2.121,0.471,0.995,0.0333667,2.121
4,110.647,11.36,4.826,11.36,4.826,41.087,13.66,10.313,178.295,0.824,13.648,4,6.614,0,136.501,9.437,1.325,0.755,0.992,0.05005005,1.325
5,110.165,11.379,4.331,11.379,4.331,47.23,13.631,10.29,177,0.621,15.708,5,2.949,0,149.721,9.437,1.325,0.755,0.956,0.0667334,1.325
6,108.7,11.379,4.033,11.379,4.033,48.476,14.453,9.576,178.733,0.581,16.834,6,2.191,0,167.425,9.437,1.509,0.663,0.94,0.08341675,1.509
7,105.201,11.383,3.863,11.383,3.863,42.774,15.499,8.642,1.549,0.723,14.729,7,4.086,4.086,3.443,8.047,1.793,0.558,0.99,0.1001001,1.793
8,110.062,11.402,4.201,11.402,4.201,43.581,14.838,9.445,2.193,0.728,14.677,8,4.171,5.013,5.105,9.437,1.571,0.637,0.982,0.11678345,1.571
9,112.877,11.425,4.48,11.425,4.48,44.685,14.026,10.246,1.293,0.71,13.964,9,4.466,3.918,5.367,9.437,1.369,0.731,0.987,0.1334668,1.369
10,113.102,11.455,4.692,11.455,4.692,44.43,13.681,10.526,177.843,0.72,14.874,10,5.182,0,144.104,9.437,1.3,0.769,0.978,0.15015015,1.3
11,112.286,11.503,4.983,11.503,4.983,41.384,14.317,9.986,175.026,0.824,14.317,11,4.55,4.381,171.369,9.437,1.434,0.697,0.988,0.1668335,1.434
12,106.459,11.537,5.435,11.537,5.435,40.552,15.019,9.025,177.394,0.814,14.506,12,4.339,4.887,173.329,8.636,1.664,0.601,0.994,0.18351685,1.664
13,106.48,11.617,5.457,11.617,5.457,40.394,14.95,9.069,0.663,0.82,14.48,13,4.339,6.067,3.67,8.678,1.649,0.607,0.995,0.2002002,1.649
14,111.363,11.685,5.145,11.685,5.145,42.048,14.327,9.897,2.14,0.792,14.246,14,4.466,6.614,4.75,9.437,1.448,0.691,0.99,0.21688355,1.448
15,112.694,11.767,4.849,11.767,4.849,42.064,13.872,10.343,1.143,0.8,13.54,15,5.729,8.341,31.514,9.437,1.341,0.746,0.993,0.2335669,1.341
