time,back,front,average
0,137.128,154.688,145.908
0.0333667,138.5125,154.3415,146.427
0.05005005,137.8465,152.2255,145.036
0.0667334,138.0415,153.5685,145.805
0.08341675,138.8985,154.6875,146.793
0.1001001,138.77,153.828,146.299
0.11678345,140.1605,153.6815,146.921
0.1334668,139.2655,154.3025,146.784
0.15015015,139.3055,154.2185,146.762
0.1668335,139.811,154.963,147.387
0.18351685,139.9445,154.9235,147.434
0.2002002,139.946,154.876,147.411
0.21688355,140.6315,155.6605,148.146
0.2335669,140.977,155.837,148.407
0.25025025,141.013,155.751,148.382
0.2669336,141.461,156.333,148.897
0.28361695,141.835,156.625,149.23
0.3003003,142.153,156.881,149.517
0.31698365,142.611,157.467,150.039
0.333667,142.941,157.697,150.319
0.35035035,143.156,157.908,150.532
0.3670337,143.8085,158.4995,151.154
0.38371705,144.1645,158.7715,151.468
0.4004004,144.5445,159.1655,151.855
0.41708375,145.0685,159.6855,152.377
0.4337671,145.4615,159.9525,152.707
0.45045045,145.884,160.354,153.119
0.4671338,146.439,160.919,153.679
0.48381715,146.9335,161.3665,154.15
0.500500501,147.352,161.816,154.584
0.517183851,147.833,162.381,155.107
0.533867201,148.3675,162.8265,155.597
0.550550551,148.972,163.33,156.151
0.567233901,149.559,163.883,156.721
0.583917251,150.0665,164.3875,157.227
0.600600601,150.6155,164.9185,157.767
0.617283951,151.148,165.486,158.317
0.633967301,151.818,166.082,158.95
0.650650651,152.4665,166.6335,159.55
0.667334001,153.003,167.207,160.105
0.684017351,153.601,167.795,160.698
0.700700701,154.2375,168.3965,161.317
0.717384051,154.8735,169.0445,161.959
0.734067401,155.5305,169.6815,162.606
0.750750751,156.218,170.238,163.228
0.767434101,156.8575,170.8485,163.853
0.784117451,157.534,171.464,164.499
0.800800801,158.2395,172.1705,165.205
0.817484151,158.981,172.859,165.92
0.834167501,159.5885,173.5675,166.578
0.850850851,160.2675,174.2245,167.246
0.867534201,161.0325,174.8975,167.965
0.884217551,161.761,175.589,168.675
0.900900901,162.569,176.291,169.43
0.917584251,163.269,176.979,170.124
0.934267601,164.028,177.658,170.843
0.950950951,164.7835,178.4185,171.601
0.967634301,166.648,178.484,172.566
0.984317651,166.266,179.93,173.098
1.001001001,166.9975,180.6385,173.818
1.017684351,167.8145,181.4015,174.608
1.034367701,168.57,182.144,175.357
1.051051051,169.425,182.895,176.16
1.067734401,170.222,183.626,176.924
1.084417751,170.9895,184.3985,177.694
1.101101101,171.813,185.175,178.494
1.117784451,172.6325,185.9835,179.308
1.134467801,173.431,186.803,180.117
1.151151151,174.2245,187.5455,180.885
1.167834501,175.0025,188.3475,181.675
1.184517851,175.861,189.173,182.517
1.201201201,176.7395,189.9385,183.339
1.217884551,177.582,190.744,184.163
1.234567901,178.382,191.578,184.98
1.251251251,179.243,192.389,185.816
1.267934601,180.1235,193.2185,186.671
1.284617951,180.924,194.05,187.487
1.301301301,181.774,194.842,188.308
1.317984651,182.618,195.706,189.162
1.334668001,183.542,196.536,190.039
1.351351351,184.4145,197.3295,190.872
1.368034701,185.245,198.139,191.692
1.384718051,186.1075,198.9745,192.541
1.401401401,186.972,199.894,193.433
1.418084751,187.825,200.755,194.29
1.434768101,188.6885,201.5815,195.135
1.451451451,189.563,202.441,196.002
1.468134801,190.4625,203.2915,196.877
1.484818151,191.381,204.107,197.744
1.501501502,192.243,204.979,198.611
1.518184852,193.123,205.745,199.434
1.534868202,193.9995,206.6725,200.336
1.551551552,194.8855,207.5705,201.228
1.568234902,195.7455,208.4205,202.083
1.584918252,196.6115,209.2665,202.939
1.601601602,197.5185,210.1435,203.831
1.618284952,198.4165,211.0075,204.712
1.634968302,199.3335,211.8205,205.577
1.651651652,200.2315,212.6205,206.426
1.668335002,201.081,213.583,207.332
1.685018352,201.9805,214.4935,208.237
1.701701702,202.8305,215.3255,209.078
1.718385052,203.704,216.196,209.95
1.735068402,204.5965,217.0555,210.826
1.751751752,205.5365,217.9515,211.744
1.768435102,206.4295,218.7705,212.6
1.785118452,207.303,219.621,213.462
1.801801802,208.143,220.577,214.36
1.818485152,209.043,221.405,215.224
1.835168502,209.9245,222.2495,216.087
1.851851852,211.783,221.985,216.884
1.868535202,212.7135,222.8745,217.794
1.885218552,212.6465,224.8035,218.725
1.901901902,214.5625,224.5235,219.543
1.918585252,215.458,225.332,220.395
1.935268602,216.278,226.262,221.27
1.951951952,217.2075,227.1705,222.189
1.968635302,218.0325,227.9995,223.016
