DropNo,Angle_deg,Volume_mL,ILback_mm,ILfront_mm,Scale_mm/pxl,Center
07213,5,1,63.3,80.16,0.179,133.23
07216,5,5,49.74,84.17,0.179,127.86
07217,5,10,60.05,106.85,0.179,130.75
07238,2,1,170.1555,186.9045,0.1515,155.2
07239,2,1,212.926,229.968,0.1515,152.97
07240,2,1,158.3955,176.2085,0.1515,139.77
07241,2,0.5,141.079,153.975,0.1515,154.21
07242,2,0.5,166.21,179.44,0.1515,152.34
07243,2,0.5,196.714,208.79,0.1515,150
07244,2,2,147.96,171.652,0.1515,153.63
07245,2,2,186.2275,210.2245,0.1515,152.97
07258,3.5,1,99.3855,119.7585,0.1393,154.38
07259,3.5,0.5,136.192,147.848,0.1393,150.74
07260,3.5,1,137.128,154.688,0.1393,157.52
07263,3.5,2,100.3515,127.9645,0.1393,158.26
07264,3.5,2,155.168,181.656,0.1492,156.36
07286,3.5,2,93.143,121.877,0.0597,114.617
07287,3.5,2,144.57,170.981,0.0597,114.617
