DropNo,Angle_deg,Volume_mL,ILback_mm,ILfront_mm,Scale_mm/pxl,Center
07213,5,1,80.16,63.3,0.179,133.23
07216,5,5,84.17,49.74,0.179,127.86
07217,5,10,106.85,60.05,0.179,130.75
07238,2,1,170.1555,186.9045,0.1515,155.2
07239,2,1,212.926,229.968,0.1515,152.97
07240,2,1,158.3955,176.2085,0.1515,139.77
07241,2,0.5,141.079,153.975,0.1515,154.21
07242,2,0.5,166.21,179.44,0.1515,152.34
07243,2,0.5,196.714,208.79,0.1515,150
07244,2,2,147.96,171.652,0.1515,153.63
07245,2,2,186.2275,210.2245,0.1515,152.97
07258,3.5,1,90.5,71.02,0.15,154.38
07259,3.5,0.5,112.59,102.773,0.15,150.74
07260,3.5,1,124.87,112.59,0.15,157.52
07261,3.5,0.5,230.09,222.73,0.15,157.6
07263,3.5,2,100.32,71.02,0.15,158.26
07264,3.5,2,181.656,155.168,0.1492,156.36
07286,3.5,2.0,121.877,93.143,0.05970,114.617
07287,3.5,2.0,170.981,144.570,0.05970,114.617
