DropNo	Angle_deg	Volume_mL	ILback_mm	ILfront_mm	IL_mm	Scale_mm/pxl	Center
7213	5	1	63.3	80.16	71.73	0.179	133.23
7216	5	5	49.74	84.17	66.955	0.179	127.86
7217	5	10	60.05	106.85	83.45	0.179	130.75
7238	2	1	170.1555	186.9045	178.53	0.1515	155.2
7239	2	1	212.926	229.968	221.447	0.1515	152.97
7240	2	1	158.3955	176.2085	167.302	0.1515	139.77
7241	2	0.5	141.079	153.975	147.527	0.1515	154.21
7242	2	0.5	166.21	179.44	172.825	0.1515	152.34
7243	2	0.5	196.714	208.79	202.752	0.1515	150
7244	2	2	147.96	171.652	159.806	0.1515	153.63
7245	2	2	186.2275	210.2245	198.226	0.1515	152.97
7258	3.5	1	99.3855	119.7585	109.572	0.1393	154.38
7259	3.5	0.5	136.192	147.848	142.02	0.1393	150.74
7260	3.5	1	137.128	154.688	145.908	0.1393	157.52
7263	3.5	2	100.3515	127.9645	114.158	0.1393	158.26
7264	3.5	2	155.168	181.656	168.412	0.1492	156.36
7286	3.5	2	93.143	121.877	107.51	0.0597	114.617
7287	3.5	2	144.57	170.981	157.7755	0.0597	114.617
