time_n,cent_xn,ave_xn,time_e,back_xe,front_xe,ave_xe
0.000000000,7.77235E-06,-5.05E-05,0.07,0,0,0
0.001000001,7.76276E-06,-0.0001165,0.13,0.07122386,0.13026039,0.100742125
0.002000001,8.18867E-06,6.7E-05,0.20,0.145184426,0.269919345,0.207551885
0.003000001,9.68016E-06,0.000135,0.27,0.273780127,0.438355579,0.356067853
0.004000001,1.21537E-05,0.001456,0.33,0.431822344,0.548916295,0.490369319
0.005000001,1.62882E-05,0.0017345,0.40,0.599705543,0.704459736,0.65208264
0.006000001,2.21719E-05,0.000932,0.47,0.832814166,0.862884816,0.847849491
0.007000001,3.03444E-05,-0.0008635,0.53,1.029119126,1.076960185,1.053039655
0.008000001,4.06344E-05,-0.0037635,0.60,1.206463726,1.282916061,1.244689894
0.009000001,5.31983E-05,-0.003366,0.67,1.402853823,1.506741529,1.454797676
0.010000000,6.74239E-05,-0.0019475,0.73,1.655357144,1.740404897,1.69788102
0.011000000,8.33673E-05,-0.0003615,0.80,1.935917846,1.992798328,1.964358087
0.012000000,0.000101904,-0.000908,0.87,2.197775382,2.198471702,2.198123542
0.013000000,0.00012325,-0.003895,0.93,2.497094368,2.478955173,2.48802477
0.014000000,0.000149675,-0.0064645,1.00,2.852406053,2.787505834,2.819955944
0.015000000,0.000179899,-0.006139,1.07,3.179731338,3.105421133,3.142576236
0.016000000,0.000211879,-0.0072005,1.13,3.497704472,3.376592789,3.437148631
0.017000000,0.000243669,-0.008428,1.20,3.787632699,3.750504063,3.769068381
0.018000000,0.000281593,-0.0084015,1.27,4.180453339,4.078063322,4.12925833
0.019000000,0.000334073,-0.007069,1.33,4.535793232,4.423923302,4.479858267
0.020000000,0.000403536,-0.0066615,1.40,4.909959433,4.704587451,4.807273442
0.021000000,0.000487706,-0.009245,1.47,5.274687779,5.088120238,5.181404008
0.022000000,0.000589143,-0.0135015,1.53,5.714286707,5.452953669,5.583620188
0.023000000,0.000704649,-0.0294665,1.60,6.041750123,5.836491544,5.939120833
0.024000000,0.000825343,-0.0522895,1.67,6.425097894,6.219749953,6.322423923
0.025000000,0.000953251,-0.0572575,1.73,6.808423733,6.631209254,6.719816493
