time,1o2deg,4o0deg,7o6deg
0.066666667,226.0389755,67.78662614,35.63932186
0.133333333,226.7512141,70.01238863,37.49515641
0.2,227.4908197,73.14697204,40.01164796
0.266666667,228.7767768,77.05540734,42.6441018
0.333333333,230.3571989,81.32850663,45.37067316
0.4,232.0360309,85.95563651,48.86305177
0.466666667,234.3671171,91.54565328,52.35736153
0.533333333,236.3301667,98.00558855,55.6690074
0.6,238.1036127,104.9000701,59.74560745
0.666666667,240.0675137,111.7118192,64.21811746
0.733333333,242.5925469,118.6130225,68.39585139
0.8,245.3981539,125.2422807,72.58082055
0.866666667,248.0167293,132.6686819,76.46721982
0.933333333,251.0099192,140.4469353,81.23883352
1,254.563036,147.9546332,85.81272144
1.066666667,257.8362889,155.3731374,90.17997973
1.133333333,261.0160202,162.6233173,94.06248794
1.2,263.9153025,,98.91965308
1.266666667,267.8435089,,103.3886177
1.333333333,271.3969078,,107.5664039
1.4,275.1385698,,111.8482397
1.466666667,278.7858533,,116.5185759
1.533333333,283.1818426,,120.8903561
1.6,286.4564767,,124.7842369
1.666666667,290.2899544,,129.06268
1.733333333,294.1232128,,133.5314469
1.8,298.2390954,,137.5186814
,,,141.3499707
,,,145.7397792
,,,149.8291348
