time,2ml,4ml,6ml
0.066666667,37.57693779,37.57693779,37.57693779
0.133333333,39.66220492,39.51858088,39.82399017
0.2,42.12893751,42.43571067,42.91205163
0.266666667,45.06327591,45.86398925,46.56564444
0.333333333,48.6671709,49.66844119,50.06833712
0.4,52.29167806,53.37962061,54.81355914
0.466666667,56.20710537,58.14034627,59.1558065
0.533333333,60.78119189,62.05753434,64.3628338
0.6,65.0747166,67.76170676,69.57477602
0.666666667,69.18067414,73.38628066,75.44776947
0.733333333,74.14494404,79.00607067,82.16522559
0.8,78.92059918,84.05213088,87.94380011
0.866666667,83.31240965,89.38932344,94.0850697
0.933333333,88.18459744,95.48200295,100.3260765
1,92.8626373,101.8754393,106.0052066
1.066666667,97.15884802,107.0230487,112.2508814
1.133333333,101.9347275,112.8331307,118.9976734
1.2,106.5172816,118.3613527,125.5314516
1.266666667,110.4425323,124.7532736,131.6876729
1.333333333,115.312833,130.3655809,137.7391727
1.4,119.612448,135.7881083,143.8167292
1.466666667,123.6382664,141.3094407,150.3347275
1.533333333,128.1322548,147.6127595,156.6547671
1.6,132.1433717,152.7683543,
1.666666667,136.7243017,158.1026977,
1.733333333,141.0334044,,
1.8,144.8665278,,
1.866666667,149.5453975,,
1.933333333,153.3655199,,
2,157.6728969,,
